product_name,brand,product_type,unit,unit_purchase,price_per_unit,total_price,currency,date,delivery,store_location,type_store,customer_name,cashier_name
Lamp Bulb,Philips,Electrical,Piece,26,15000,390000,IDR,2023-07-03 10:43:37,Pickup,Surabaya,Branch,Aleena Thalib,Agus Cahyadi
Sitting Toilet,TOTO,Sanitary,Piece,30,1200000,36000000,IDR,2022-01-24 09:40:15,Delivery,Jakarta,Branch,Saiful Thalib,Ahmad Adam
Gresik 50 kg,Gresik,Cement,Sack,23,70000,1610000,IDR,2020-05-21 11:08:59,Delivery,Medan,Branch,Erna Malaka,Kezia Karen
Door Handle,Belleza,Lock Accessory,Piece,37,50000,1850000,IDR,2024-12-18 10:42:30,Delivery,Jayapura,Branch,Budi Shihab,Latifa Laila
Red Brick,Laksana,Brick,Piece,23,800,18400,IDR,2021-03-20 14:00:08,Pickup,Jayapura,Branch,Asep Wijaya,Faiz Fadlurrahman
Lightweight Steel Roof Frame,Taso,Roof Frame,Meter,37,45000,1665000,IDR,2020-07-20 12:59:36,Delivery,Bandung,Branch,Nina Kusuma,Hera Harsha
Timber Beam (Kaso),Unbranded,Wood,Piece,14,25000,350000,IDR,2022-12-28 08:14:48,Delivery,Denpasar,Branch,Agung Kusuma,Ibrahim Iman
Paint Brush,Eterna,Paint Accessory,Piece,35,15000,525000,IDR,2022-12-02 10:00:24,Delivery,Surabaya,Branch,Kayla Tanuwijaya,Burhan Bakhtiar
Gypsum Board,Jayaboard,Ceiling,Sheet,48,60000,2880000,IDR,2021-11-11 15:51:58,Pickup,Jayapura,Branch,Kayla Thalib,Marshanda Maharani
Masonry Sand,Unbranded,Sand,Cubic Meter,33,250000,8250000,IDR,2021-12-22 09:25:23,Pickup,Bandung,Branch,Kayla Malaka,Anwar Arif Akhtar
Measuring Tape,Stanley,Tool,Piece,13,30000,390000,IDR,2024-02-26 15:01:05,Delivery,Medan,Branch,Maya Syaiban,Kezia Karen
Tile Adhesive Mortar,AM,Mortar,Sack,5,60000,300000,IDR,2022-02-07 13:46:49,Delivery,Jayapura,Branch,Azahra Kusuma,Latifa Laila
Tile Grout,Sika,Mortar,Sack,13,45000,585000,IDR,2021-06-16 10:37:40,Pickup,Tasikmalaya,Head Office,Nina Wijaya,Naura Aliya Lestari
Concrete Sand,Unbranded,Sand,Cubic Meter,24,300000,7200000,IDR,2024-11-25 16:09:18,Delivery,Surabaya,Branch,Tono Jayawardana,Agus Cahyadi
Sandpaper,Taiyo,Paint Accessory,Piece,6,5000,30000,IDR,2024-10-24 14:11:42,Delivery,Jakarta,Branch,Syifa Malaka,Ahmad Adam
Granite Tile,Indogress,Tile,Box,22,150000,3300000,IDR,2022-12-12 14:14:46,Delivery,Surabaya,Branch,Wawan Malaka,Agus Cahyadi
Hand Saw,Tekiro,Tool,Piece,2,60000,120000,IDR,2021-10-07 17:53:27,Delivery,Medan,Branch,Tono Jayawardana,Chairil Dhaifullah
Tile Grout,Sika,Mortar,Sack,25,45000,1125000,IDR,2024-12-12 12:53:25,Pickup,Medan,Branch,Wawan Jayawardana,Kezia Karen
Wall Putty (Filler),Matex,Paint Accessory,Kg,16,20000,320000,IDR,2020-06-26 16:06:39,Pickup,Tasikmalaya,Head Office,Asep Wijaya,Naura Aliya Lestari
Gresik 50 kg,Gresik,Cement,Sack,34,70000,2380000,IDR,2021-04-13 17:38:06,Pickup,Medan,Branch,Azahra Tanuwijaya,Ehsan Aziz
Red Brick,Laksana,Brick,Piece,9,800,7200,IDR,2021-02-20 08:30:23,Delivery,Surabaya,Branch,Erna Thalib,Agus Cahyadi
Wall Putty (Filler),Matex,Paint Accessory,Kg,31,20000,620000,IDR,2023-06-15 14:42:33,Pickup,Jakarta,Branch,Tono Syaiban,Ahmad Adam
Pliers,Tekiro,Tool,Piece,32,35000,1120000,IDR,2021-02-04 16:12:00,Delivery,Jakarta,Branch,Ferry Kusuma,Erinna Elsa Elizha
Ceiling Cornice / Profile List,Aplus,Ceiling,Meter,12,15000,180000,IDR,2021-03-11 11:38:47,Pickup,Medan,Branch,Maya Syaiban,Kezia Karen
Skim Coat (Wall Putty),Drymix,Mortar,Sack,2,55000,110000,IDR,2023-06-16 16:57:47,Delivery,Surabaya,Branch,Ananda Wijaya,Agus Cahyadi
Water Faucet,Wasser,Sanitary,Piece,24,75000,1800000,IDR,2023-08-03 13:04:20,Pickup,Jayapura,Branch,Saiful Jayawardana,Fauzi Ghaffar
Wheelbarrow,Artco,Tool,Piece,5,450000,2250000,IDR,2020-11-05 09:32:30,Pickup,Denpasar,Branch,Ferry Wijaya,Ibrahim Iman
Skim Coat (Wall Putty),Drymix,Mortar,Sack,37,55000,2035000,IDR,2021-12-04 12:15:35,Pickup,Denpasar,Branch,Kayla Wijaya,Nina Octavia
Plastering Float,Lippro,Tool,Piece,40,30000,1200000,IDR,2022-07-04 17:04:03,Delivery,Denpasar,Branch,Kayla Syaiban,Ibrahim Iman
Ceiling Cornice / Profile List,Aplus,Ceiling,Meter,33,15000,495000,IDR,2020-07-14 11:20:18,Pickup,Jakarta,Branch,Nina Syaiban,Ahmad Adam
Tiga Roda 50 kg,Tiga Roda,Cement,Sack,29,76000,2204000,IDR,2021-10-30 10:29:10,Pickup,Bandung,Branch,Saiful Pahlevi,Harum Hafsa
Wheelbarrow,Artco,Tool,Piece,1,450000,450000,IDR,2024-09-26 08:46:05,Delivery,Denpasar,Branch,Melania Tanuwijaya,Permata Qaila
Shovel,Camel,Tool,Piece,44,75000,3300000,IDR,2021-07-31 10:45:57,Pickup,Surabaya,Branch,Wawan Malaka,Zahra Jasmine
Concrete Block,Bricon,Brick,Piece,36,5000,180000,IDR,2023-06-09 10:00:55,Pickup,Surabaya,Branch,Saiful Thalib,Isabell Inaya
Masonry Sand,Unbranded,Sand,Cubic Meter,33,250000,8250000,IDR,2020-09-29 13:45:07,Pickup,Surabaya,Branch,Nina Kusuma,Agus Cahyadi
Ceiling Cornice / Profile List,Aplus,Ceiling,Meter,47,15000,705000,IDR,2020-10-09 13:31:35,Delivery,Surabaya,Branch,Saiful Kusuma,Isabell Inaya
Asbestos Sheet,Djabesmen,Roof Covering,Meter,27,60000,1620000,IDR,2021-04-29 16:17:19,Delivery,Jakarta,Branch,Aleena Syaiban,Muhammad Fikru
Door Hinge,Belleza,Lock Accessory,Pair,19,30000,570000,IDR,2024-07-23 11:34:31,Pickup,Jakarta,Branch,Azahra Jayawardana,Erinna Elsa Elizha
Ceiling Cornice / Profile List,Aplus,Ceiling,Meter,29,15000,435000,IDR,2024-05-18 16:47:50,Delivery,Bandung,Branch,Ayu Kusuma,Asep Aziz
Tiga Roda 40 kg,Tiga Roda,Cement,Sack,11,64000,704000,IDR,2024-12-18 17:10:09,Pickup,Tasikmalaya,Head Office,Melania Kusuma,Ayu Putri Avicenna
Conduit Pipe,Clipsal,Electrical,Meter,40,7000,280000,IDR,2021-12-27 14:02:15,Delivery,Tasikmalaya,Head Office,Melania Thalib,Atyla Azfa
Door Handle,Belleza,Lock Accessory,Piece,45,50000,2250000,IDR,2023-03-09 11:17:21,Delivery,Jakarta,Branch,Ananda Thalib,Ahmad Adam
Floor Drain,Onda,Sanitary,Piece,46,50000,2300000,IDR,2023-03-14 12:29:09,Pickup,Medan,Branch,Hendra Malaka,Kezia Karen
PVC Pipe,Wavin,Plumbing,Meter,37,15000,555000,IDR,2022-06-17 16:51:51,Delivery,Bandung,Branch,Erna Kusuma,Anwar Arif Akhtar
Gresik 40 kg,Gresik,Cement,Sack,38,57000,2166000,IDR,2020-05-21 13:24:39,Delivery,Jakarta,Branch,Melania Malaka,Erinna Elsa Elizha
Clay Roof Tile,Kanmuri,Roof Covering,Piece,9,2000,18000,IDR,2024-06-01 08:22:09,Delivery,Tasikmalaya,Head Office,Ayu Wijaya,Ayu Putri Avicenna
Sitting Toilet,TOTO,Sanitary,Piece,23,1200000,27600000,IDR,2022-07-14 17:27:28,Delivery,Jayapura,Branch,Agus Thalib,Marshanda Maharani
Door Frame (Wood),Unbranded,Door Frame,Piece,30,250000,7500000,IDR,2021-12-03 12:20:29,Pickup,Surabaya,Branch,Agung Syaiban,Agus Cahyadi
Skim Coat (Wall Putty),Drymix,Mortar,Sack,14,55000,770000,IDR,2020-09-21 09:06:15,Pickup,Surabaya,Branch,Maya Thalib,Isabell Inaya
Hand Saw,Tekiro,Tool,Piece,31,60000,1860000,IDR,2024-02-17 15:00:18,Pickup,Bandung,Branch,Nina Jayawardana,Asep Aziz
Crushed Stone / Gravel,Unbranded,Stone,Cubic Meter,17,350000,5950000,IDR,2022-10-05 14:35:32,Pickup,Jakarta,Branch,Erna Wijaya,Fiona Gianna
Spirit Level,Krisbow,Tool,Piece,38,65000,2470000,IDR,2020-04-16 16:16:59,Delivery,Surabaya,Branch,Erna Pahlevi,Agus Cahyadi
Crushed Stone / Gravel,Unbranded,Stone,Cubic Meter,26,350000,9100000,IDR,2021-05-11 11:56:19,Pickup,Jakarta,Branch,Wawan Shihab,Muhammad Fikru
Tiga Roda 40 kg,Tiga Roda,Cement,Sack,2,64000,128000,IDR,2024-03-18 17:34:01,Delivery,Jayapura,Branch,Tono Wijaya,Fauzi Ghaffar
Paint Brush,Eterna,Paint Accessory,Piece,17,15000,255000,IDR,2022-01-20 10:00:51,Pickup,Tasikmalaya,Head Office,Tono Syaiban,Naura Aliya Lestari
Clay Roof Tile,Kanmuri,Roof Covering,Piece,48,2000,96000,IDR,2024-01-24 11:47:08,Pickup,Surabaya,Branch,Ayu Syaiban,Burhan Bakhtiar
Hoe,Camel,Tool,Piece,16,80000,1280000,IDR,2020-12-04 12:46:57,Pickup,Tasikmalaya,Head Office,Saiful Shihab,Naura Aliya Lestari
Paint Brush,Eterna,Paint Accessory,Piece,30,15000,450000,IDR,2022-06-17 09:29:55,Pickup,Jayapura,Branch,Kayla Shihab,Fauzi Ghaffar
Granite Tile,Indogress,Tile,Box,35,150000,5250000,IDR,2024-11-13 11:02:26,Delivery,Tasikmalaya,Head Office,Melania Tanuwijaya,Al Harits
Tiga Roda 50 kg,Tiga Roda,Cement,Sack,41,76000,3116000,IDR,2023-03-22 17:06:59,Delivery,Jayapura,Branch,Ferry Ubaid,Marshanda Maharani
Clay Roof Tile,Kanmuri,Roof Covering,Piece,6,2000,12000,IDR,2020-10-30 13:25:19,Delivery,Surabaya,Branch,Agung Tanuwijaya,Zahra Jasmine
Rebar 8mm,Master Steel,Steel,Meter,47,20000,940000,IDR,2021-07-16 08:31:45,Delivery,Medan,Branch,Ferry Kusuma,Ehsan Aziz
Timber Beam (Kaso),Unbranded,Wood,Piece,21,25000,525000,IDR,2021-08-02 11:47:57,Pickup,Jakarta,Branch,Ayu Jayawardana,Fiona Gianna
Shovel,Camel,Tool,Piece,15,75000,1125000,IDR,2023-11-25 08:29:16,Delivery,Tasikmalaya,Head Office,Nina Syaiban,Naura Aliya Lestari
Electrical Cable,Supreme,Electrical,Meter,16,5000,80000,IDR,2024-10-14 11:46:35,Delivery,Jayapura,Branch,Agus Syaiban,Faiz Fadlurrahman
Crushed Stone / Gravel,Unbranded,Stone,Cubic Meter,5,350000,1750000,IDR,2024-12-20 13:10:03,Pickup,Tasikmalaya,Head Office,Ferry Ubaid,Al Harits
Plaster Mortar,Mortar Utama (MU),Mortar,Sack,29,50000,1450000,IDR,2022-05-16 10:55:45,Pickup,Bandung,Branch,Wawan Syaiban,Hera Harsha
Metal Roof Tile,Multi Roof,Roof Covering,Piece,20,5000,100000,IDR,2021-08-07 16:40:21,Pickup,Jakarta,Branch,Syifa Kusuma,Fiona Gianna
Timber Beam (Kaso),Unbranded,Wood,Piece,3,25000,75000,IDR,2020-06-13 17:25:13,Pickup,Denpasar,Branch,Kayla Wijaya,Ilyas Jabar
Door Handle,Belleza,Lock Accessory,Piece,21,50000,1050000,IDR,2021-06-21 17:09:18,Pickup,Jakarta,Branch,Hendra Shihab,Fiona Gianna
Formwork Board (Shuttering),Unbranded,Wood,Piece,20,30000,600000,IDR,2021-01-16 08:55:18,Delivery,Medan,Branch,Saiful Tanuwijaya,Ehsan Aziz
Paint Brush,Eterna,Paint Accessory,Piece,6,15000,90000,IDR,2023-04-21 10:52:38,Delivery,Medan,Branch,Budi Thalib,Kezia Karen
GRC Board,KalsiBoard,Ceiling,Sheet,41,70000,2870000,IDR,2024-10-24 16:44:38,Pickup,Medan,Branch,Kayla Ubaid,Kezia Karen
Tiga Roda 50 kg,Tiga Roda,Cement,Sack,44,76000,3344000,IDR,2020-12-10 17:50:38,Pickup,Jayapura,Branch,Syifa Syaiban,Fauzi Ghaffar
Wall Paint,Dulux,Paint,Can,3,120000,360000,IDR,2020-10-20 10:24:50,Pickup,Tasikmalaya,Head Office,Agung Kusuma,Naura Aliya Lestari
Timber Beam (Kaso),Unbranded,Wood,Piece,5,25000,125000,IDR,2020-09-09 17:07:55,Pickup,Bandung,Branch,Budi Kusuma,Anwar Arif Akhtar
Plaster Mortar,Mortar Utama (MU),Mortar,Sack,9,50000,450000,IDR,2022-03-25 17:53:09,Pickup,Tasikmalaya,Head Office,Wawan Tanuwijaya,Ayu Putri Avicenna
Skim Coat (Wall Putty),Drymix,Mortar,Sack,42,55000,2310000,IDR,2021-09-29 12:10:22,Pickup,Surabaya,Branch,Nina Kusuma,Agus Cahyadi
Lamp Bulb,Philips,Electrical,Piece,7,15000,105000,IDR,2021-01-02 09:41:50,Delivery,Surabaya,Branch,Nina Ubaid,Burhan Bakhtiar
Power Outlet,Panasonic,Electrical,Piece,9,20000,180000,IDR,2021-02-15 16:03:20,Delivery,Bandung,Branch,Hendra Malaka,Anwar Arif Akhtar
Spirit Level,Krisbow,Tool,Piece,34,65000,2210000,IDR,2021-02-08 17:12:28,Pickup,Bandung,Branch,Ferry Jayawardana,Hera Harsha
Rebar 8mm,Master Steel,Steel,Meter,13,20000,260000,IDR,2022-08-09 17:55:32,Delivery,Medan,Branch,Maya Thalib,Ehsan Aziz
PVC Pipe,Wavin,Plumbing,Meter,12,15000,180000,IDR,2024-10-03 16:53:59,Pickup,Jayapura,Branch,Aleena Shihab,Faiz Fadlurrahman
Asbestos Sheet,Djabesmen,Roof Covering,Meter,7,60000,420000,IDR,2023-12-02 17:20:27,Pickup,Denpasar,Branch,Tono Wijaya,Ibrahim Iman
Wash Basin (Sink),TOTO,Sanitary,Piece,9,600000,5400000,IDR,2021-11-26 17:39:26,Pickup,Jakarta,Branch,Aleena Ubaid,Muhammad Fikru
Skim Coat (Wall Putty),Drymix,Mortar,Sack,50,55000,2750000,IDR,2020-03-19 10:10:03,Pickup,Bandung,Branch,Melania Ubaid,Hera Harsha
Metal Roof Tile,Multi Roof,Roof Covering,Piece,17,5000,85000,IDR,2023-08-24 08:51:48,Pickup,Denpasar,Branch,Aleena Thalib,Ilyas Jabar
Door Handle,Belleza,Lock Accessory,Piece,43,50000,2150000,IDR,2021-08-12 12:28:48,Delivery,Medan,Branch,Erna Malaka,Ehsan Aziz
Sitting Toilet,TOTO,Sanitary,Piece,21,1200000,25200000,IDR,2021-03-16 09:12:15,Delivery,Denpasar,Branch,Nina Kusuma,Ilyas Jabar
Spandek / Galvalume Sheet,BlueScope,Roof Covering,Meter,20,90000,1800000,IDR,2023-04-10 10:16:28,Pickup,Tasikmalaya,Head Office,Tono Ubaid,Ayu Putri Avicenna
PVC Pipe,Wavin,Plumbing,Meter,10,15000,150000,IDR,2021-06-09 17:14:48,Delivery,Medan,Branch,Ayu Tanuwijaya,Ehsan Aziz
Measuring Tape,Stanley,Tool,Piece,34,30000,1020000,IDR,2023-03-04 12:08:51,Pickup,Bandung,Branch,Melania Pahlevi,Asep Aziz
Spirit Level,Krisbow,Tool,Piece,3,65000,195000,IDR,2024-05-17 08:43:05,Pickup,Medan,Branch,Azahra Kusuma,Kezia Karen
Formwork Board (Shuttering),Unbranded,Wood,Piece,28,30000,840000,IDR,2021-02-17 09:59:17,Pickup,Jakarta,Branch,Kayla Kusuma,Ahmad Adam
Wall Paint,Dulux,Paint,Can,42,120000,5040000,IDR,2024-05-07 16:22:54,Delivery,Jakarta,Branch,Saiful Kusuma,Muhammad Fikru
Sitting Toilet,TOTO,Sanitary,Piece,32,1200000,38400000,IDR,2020-06-24 12:00:00,Delivery,Jayapura,Branch,Agus Pahlevi,Faiz Fadlurrahman
Steel Door,WINA,Door,Piece,3,700000,2100000,IDR,2024-10-28 12:45:00,Delivery,Jakarta,Branch,Melania Malaka,Erinna Elsa Elizha
Concrete Block,Bricon,Brick,Piece,2,5000,10000,IDR,2020-04-21 12:49:46,Delivery,Denpasar,Branch,Maya Malaka,Nina Octavia
Conduit Pipe,Clipsal,Electrical,Meter,36,7000,252000,IDR,2022-04-25 13:21:50,Pickup,Bandung,Branch,Azahra Pahlevi,Harum Hafsa
Tile Grout,Sika,Mortar,Sack,7,45000,315000,IDR,2021-04-26 14:04:50,Pickup,Jayapura,Branch,Asep Syaiban,Faiz Fadlurrahman
Masonry Sand,Unbranded,Sand,Cubic Meter,42,250000,10500000,IDR,2021-11-30 13:23:26,Delivery,Jayapura,Branch,Azahra Thalib,Fauzi Ghaffar
Lamp Bulb,Philips,Electrical,Piece,46,15000,690000,IDR,2020-09-17 15:53:53,Delivery,Jayapura,Branch,Aleena Malaka,Fauzi Ghaffar
Hand Saw,Tekiro,Tool,Piece,7,60000,420000,IDR,2024-03-09 14:56:02,Delivery,Jakarta,Branch,Erna Tanuwijaya,Muhammad Fikru
PVC Pipe,Wavin,Plumbing,Meter,23,15000,345000,IDR,2020-04-18 17:10:01,Delivery,Bandung,Branch,Erna Tanuwijaya,Harum Hafsa
Door Lock,Solid,Lock,Set,19,100000,1900000,IDR,2021-04-26 14:01:19,Pickup,Jakarta,Branch,Tono Ubaid,Fiona Gianna
Gresik 40 kg,Gresik,Cement,Sack,14,57000,798000,IDR,2021-08-16 16:40:06,Delivery,Tasikmalaya,Head Office,Hendra Malaka,Al Harits
Asbestos Sheet,Djabesmen,Roof Covering,Meter,14,60000,840000,IDR,2023-06-10 10:46:46,Delivery,Tasikmalaya,Head Office,Tono Pahlevi,Atyla Azfa
Lightweight Steel Roof Frame,Taso,Roof Frame,Meter,39,45000,1755000,IDR,2023-12-07 13:00:11,Pickup,Bandung,Branch,Tono Syaiban,Hera Harsha
Squat Toilet,INA,Sanitary,Piece,10,300000,3000000,IDR,2023-09-18 15:07:43,Pickup,Jakarta,Branch,Melania Pahlevi,Fiona Gianna
Ceiling Cornice / Profile List,Aplus,Ceiling,Meter,14,15000,210000,IDR,2021-03-09 16:11:40,Delivery,Medan,Branch,Syifa Kusuma,Chairil Dhaifullah
Trowel,Lippro,Tool,Piece,48,25000,1200000,IDR,2024-10-01 10:51:22,Delivery,Jakarta,Branch,Asep Thalib,Muhammad Fikru
Water Tank,Penguin,Plumbing,Piece,46,1500000,69000000,IDR,2022-12-20 12:18:11,Delivery,Bandung,Branch,Aleena Tanuwijaya,Asep Aziz
Wheelbarrow,Artco,Tool,Piece,11,450000,4950000,IDR,2022-12-22 17:20:33,Pickup,Bandung,Branch,Melania Malaka,Hera Harsha
Electrical Cable,Supreme,Electrical,Meter,19,5000,95000,IDR,2023-12-08 12:50:02,Pickup,Surabaya,Branch,Agus Kusuma,Burhan Bakhtiar
Tile Adhesive Mortar,AM,Mortar,Sack,26,60000,1560000,IDR,2022-12-16 08:44:51,Delivery,Surabaya,Branch,Tono Kusuma,Isabell Inaya
Skim Coat (Wall Putty),Drymix,Mortar,Sack,3,55000,165000,IDR,2022-09-20 09:28:01,Delivery,Jakarta,Branch,Budi Shihab,Fiona Gianna
Timber Beam (Kaso),Unbranded,Wood,Piece,24,25000,600000,IDR,2024-08-12 09:20:39,Pickup,Medan,Branch,Ferry Kusuma,Ehsan Aziz
Gypsum Board,Jayaboard,Ceiling,Sheet,15,60000,900000,IDR,2020-08-14 16:32:10,Delivery,Tasikmalaya,Head Office,Tono Kusuma,Naura Aliya Lestari
Spandek / Galvalume Sheet,BlueScope,Roof Covering,Meter,11,90000,990000,IDR,2024-11-13 10:24:20,Delivery,Tasikmalaya,Head Office,Tono Jayawardana,Al Harits
Granite Tile,Indogress,Tile,Box,40,150000,6000000,IDR,2023-10-24 09:18:35,Delivery,Tasikmalaya,Head Office,Ferry Wijaya,Atyla Azfa
Door Lock,Solid,Lock,Set,8,100000,800000,IDR,2022-03-17 11:30:41,Pickup,Jayapura,Branch,Ferry Tanuwijaya,Faiz Fadlurrahman
Rebar 8mm,Master Steel,Steel,Meter,49,20000,980000,IDR,2023-06-08 11:41:12,Pickup,Denpasar,Branch,Kayla Pahlevi,Ilyas Jabar
Door Hinge,Belleza,Lock Accessory,Pair,24,30000,720000,IDR,2021-11-18 12:58:40,Delivery,Bandung,Branch,Erna Syaiban,Anwar Arif Akhtar
Hammer,Lippro,Tool,Piece,21,50000,1050000,IDR,2020-02-27 13:22:00,Pickup,Bandung,Branch,Wawan Shihab,Hera Harsha
Door Handle,Belleza,Lock Accessory,Piece,6,50000,300000,IDR,2023-06-02 08:25:03,Delivery,Denpasar,Branch,Nina Tanuwijaya,Ibrahim Iman
Ceiling Cornice / Profile List,Aplus,Ceiling,Meter,42,15000,630000,IDR,2021-02-22 13:50:21,Pickup,Surabaya,Branch,Tono Pahlevi,Zahra Jasmine
PVC Pipe,Rucika,Plumbing,Meter,15,16000,240000,IDR,2023-03-01 15:44:17,Delivery,Jayapura,Branch,Agung Thalib,Faiz Fadlurrahman
Holcim 50 kg,Holcim,Cement,Sack,23,68000,1564000,IDR,2021-03-23 15:14:24,Delivery,Bandung,Branch,Ananda Shihab,Asep Aziz
Red Brick,Laksana,Brick,Piece,12,800,9600,IDR,2020-08-18 10:01:40,Pickup,Denpasar,Branch,Tono Syaiban,Ilyas Jabar
Steel Door,WINA,Door,Piece,13,700000,9100000,IDR,2021-11-23 15:29:03,Delivery,Medan,Branch,Hendra Syaiban,Kayla Kiki Lena
Wall Paint,Dulux,Paint,Can,26,120000,3120000,IDR,2023-08-07 10:58:21,Pickup,Denpasar,Branch,Ananda Pahlevi,Ibrahim Iman
